Call_Chart,Call_OpenInterest,Call_ChangeinOpenInterest,Call_TradedVolume,Call_ImpliedVolatility,Call_LastTradedPrice,Call_NetChange,Call_BidQuantity,Call_BidPrice,Call_AskPrice,Call_AskQuantity,StrikePrice,Put_BidQuantity,Put_BidPrice,Put_AskPrice,Put_AskQuantity,Put_NetChange,Put_LastTradedPrice,Put_ImpliedVolatility,Put_TradedVolume,Put_ChangeinOpenInterest,Put_OpenInterest,Put_Chart
0,56320,-720,55,0,3657.2,-49.05,40,3655.35,3675.95,80,24600,1000,2.5,2.7,80,-0.75,2.3,34.92,124,-1800,57760,
0,40,0,0,0,2300,0,160,3077,4535,200,24700,120,3.05,0,0,0,38,0,0,0,360,
0,80,0,0,0,2742.85,0,520,2539.05,4318,160,24800,200,0.3,0,0,0,6.75,0,0,0,40,
0,0,0,0,0,0,0,520,2331.85,0,0,24900,200,0.3,0,0,0,14.9,0,0,0,360,
0,32240,-2840,71,0,3235,-74.4,120,3255.35,3286.35,40,25000,960,2.1,2.45,840,-1,2.5,31.61,381,-2360,49480,
0,0,0,0,0,0,0,480,2132.25,0,0,25100,200,0.3,0,0,0,0,0,0,0,0,
0,80,0,0,0,1940,0,0,0,0,0,25200,40,1,0,0,0,19,0,0,0,80,
0,0,0,0,0,0,0,480,1932.65,0,0,25300,200,0.3,0,0,0,0,0,0,0,0,
0,40,-40,2,0,2804,474,480,2595.3,3012.7,480,25400,80,2,5.95,600,1.95,5,30.5,6,0,3040,
0,26960,680,17,0,2746.05,-103.95,160,2753.15,2777.25,40,25500,200,2.7,3.4,400,-2.55,3.1,27.8,255,-4840,89800,
0,1200,0,0,0,1360.2,0,80,2481.7,0,0,25600,40,2,5.45,40,-8.4,4.6,28.26,4,-160,5920,
0,1280,0,0,0,1361,0,0,0,0,0,25700,160,3.05,0,0,0,22,0,0,0,6240,
0,0,0,0,0,0,0,480,1505.7,0,0,25800,1120,3.05,0,0,0,17.5,0,0,0,12840,
0,200,0,0,0,1560.05,0,80,2173.05,2574.75,80,25900,320,4.05,6.4,40,-1.3,5.65,26.11,78,-80,11200,
0,31320,-720,31,0,2270,-69.4,120,2263.1,2286.6,80,26000,40,5.05,5.75,120,-2.65,5,24.72,842,-6080,228800,
0,400,0,1,0,2118.2,107.9,40,2153.75,2291.35,80,26100,40,5.6,7.45,1200,-1.75,6.8,24.82,80,0,13000,
0,920,0,0,0,2188.8,9.6,480,2007.25,2144.3,480,26200,40,4.25,5.55,80,-1.7,5.5,23.1,38,-1320,4760,
0,480,0,0,0,1139.25,0,480,936.2,0,0,26300,40,5.65,6.75,40,-0.3,6,22.4,28,280,5240,
